CustomerName,total_profit,total_Qty,total_sales,customer_segment,RowID,CustomerSegment,Region,StateOrProvince,City,PostalCode
"Andrea Shaw",17536.85,93,26284.68,"most active customer",21952,Corporate,Central,Illinois,Danville,61832
"Andrea Shaw",17536.85,93,26284.68,"most active customer",22193,"Small Business",Central,Illinois,Danville,61832
"Andrea Shaw",17536.85,93,26284.68,"most active customer",19913,"Small Business",Central,Illinois,Danville,61832
"Andrea Shaw",17536.85,93,26284.68,"most active customer",19843,"Small Business",Central,Illinois,Danville,61832
"Andrea Shaw",17536.85,93,26284.68,"most active customer",19842,"Small Business",Central,Illinois,Danville,61832
"Andrea Shaw",17536.85,93,26284.68,"most active customer",20624,"Small Business",Central,Illinois,Danville,61832
"Cathy Hutchinson",17306.63,33,5201.03,others,18385,"Home Office",South,Florida,Kissimmee,34741
"Cathy Hutchinson",17306.63,33,5201.03,others,18384,"Home Office",South,Florida,Kissimmee,34741
"Nina Horne Kelly",16432.45,223,78243.6,"most active customer",568,"Small Business",East,"District of Columbia",Washington,20012
"Nina Horne Kelly",16432.45,223,78243.6,"most active customer",8244,"Small Business",East,"District of Columbia",Washington,20012
"Nina Horne Kelly",16432.45,223,78243.6,"most active customer",8243,"Small Business",East,"District of Columbia",Washington,20012
"Nina Horne Kelly",16432.45,223,78243.6,"most active customer",1085,"Small Business",East,"District of Columbia",Washington,20012
"Nina Horne Kelly",16432.45,223,78243.6,"most active customer",1084,"Small Business",East,"District of Columbia",Washington,20012
"Nina Horne Kelly",16432.45,223,78243.6,"most active customer",8389,"Small Business",East,"District of Columbia",Washington,20012
"Nina Horne Kelly",16432.45,223,78243.6,"most active customer",567,"Small Business",East,"District of Columbia",Washington,20012
"Nina Horne Kelly",16432.45,223,78243.6,"most active customer",566,"Small Business",East,"District of Columbia",Washington,20012
"Marie Daniel",12511.65,25,18197.82,others,23560,Corporate,Central,Illinois,Elgin,60123
"Marie Daniel",12511.65,25,18197.82,others,24665,Corporate,Central,Illinois,Elgin,60123
"Marie Daniel",12511.65,25,18197.82,others,24103,Corporate,Central,Illinois,Elgin,60123
"Jesse Williams Katz",11820.75,101,19781.52,others,23938,"Home Office",West,Arizona,Yuma,85364
"Jesse Williams Katz",11820.75,101,19781.52,others,23937,"Home Office",West,Arizona,Yuma,85364
"Jesse Williams Katz",11820.75,101,19781.52,others,24136,Consumer,West,Arizona,Yuma,85364
"Jesse Williams Katz",11820.75,101,19781.52,others,23522,"Home Office",West,Arizona,Yuma,85364
"Jesse Williams Katz",11820.75,101,19781.52,others,23521,"Home Office",West,Arizona,Yuma,85364
"Deborah Paul",11080.49,53,17321.24,others,20425,"Small Business",West,Oregon,"West Linn",97068
"Deborah Paul",11080.49,53,17321.24,others,18924,"Small Business",West,Oregon,"West Linn",97068
"Deborah Paul",11080.49,53,17321.24,others,18923,"Small Business",West,Oregon,"West Linn",97068
"Deborah Paul",11080.49,53,17321.24,others,18661,"Small Business",West,Oregon,"West Linn",97068
"Deborah Paul",11080.49,53,17321.24,others,18660,"Small Business",West,Oregon,"West Linn",97068
"Dwight Albright Huffman",10427.95,53,16612.69,"most active customer",23589,Corporate,West,California,"San Francisco",94110
"Dwight Albright Huffman",10427.95,53,16612.69,"most active customer",22629,Corporate,West,California,"San Francisco",94110
"Dwight Albright Huffman",10427.95,53,16612.69,"most active customer",20746,"Home Office",West,California,"San Francisco",94110
"Dwight Albright Huffman",10427.95,53,16612.69,"most active customer",21063,"Home Office",West,California,"San Francisco",94110
"Dwight Albright Huffman",10427.95,53,16612.69,"most active customer",23184,Corporate,West,California,"San Francisco",94110
"Dwight Albright Huffman",10427.95,53,16612.69,"most active customer",23024,"Home Office",West,California,"San Francisco",94110
"Dwight Albright Huffman",10427.95,53,16612.69,"most active customer",19023,Corporate,West,California,"San Francisco",94110
"Helen Stein",9818.77,69,16700.95,"most active customer",23881,Corporate,East,Ohio,Cincinnati,45231
